Wall time,Step,Value
1507217447.5304427,17,0.0023737356532365084
1507217462.371196,18,0.002923781517893076
1507217524.5805018,22,0.0026450268924236298
1507217540.9331198,23,0.0028940418269485235
1507217587.303233,26,0.0015003250446170568
1507217602.544831,27,0.0016665620496496558
1507217654.2927134,30,0.002345773158594966
1507217672.542478,31,0.0013766409829258919
1507217687.9902596,32,0.0018236254109069705
1507217738.000627,36,0.001557338167913258
1507217864.1416905,45,0.0018351536709815264
1507217907.5743916,48,0.000851779303047806
1507217973.8005226,52,0.002028927206993103
1507218005.313186,54,0.002578931162133813
1507218036.1107423,56,0.0014481235994026065
1507218051.08136,57,0.002314052078872919
1507218084.1571143,59,0.0012867313344031572
1507218116.3986049,61,0.0035285400226712227
1507218181.0406656,65,0.0033552844543009996
1507218196.8774948,66,0.0017768795369192958
1507218214.880538,67,0.002088448964059353
1507218230.5054605,68,0.001545351231470704
1507218244.1281178,69,0.0008630846277810633
1507218338.8015141,75,0.0023754467256367207
1507218370.1566517,77,0.0024739352520555258
1507218385.5450137,78,0.002178952796384692
1507218404.761824,79,0.002424543956294656
1507218422.1937652,80,0.0019449302926659584
1507218468.466897,83,0.0014073523925617337
1507218482.7024868,84,0.001314678112976253
1507218496.328084,85,0.0010415894212201238
1507218511.8947835,86,0.0013843897031620145
1507218599.750822,91,0.003998163156211376
1507218676.067772,96,0.0012516594724729657
1507218724.2942865,99,0.002425447106361389
1507218740.3742678,100,0.003311035456135869
1507218834.0669205,106,0.0019848975352942944
1507218965.9197092,114,0.0022355415858328342
1507219010.9015276,117,0.0012406702153384686
1507219023.6815076,118,0.001338471658527851
1507219117.7631726,125,0.0010581077076494694
1507219166.498576,128,0.0018148976378142834
1507219194.301268,130,0.000490757985971868
1507219297.428541,137,0.0006235666223801672
1507219313.6683178,138,0.0010097117628902197
1507219360.7439406,141,0.0005519348196685314
1507219375.8240077,142,0.0011711742263287306
1507219484.4788077,149,0.0028896669391542673
1507219516.8337572,151,0.0011474183993414044
1507219550.2505486,153,0.0016179293161258101
1507219568.7482712,154,0.002207524375990033
1507219585.2725286,155,0.0027960287407040596
1507219695.2887,162,0.0008016000501811504
1507219771.4873304,167,0.0005937061505392194
1507219799.2849987,169,0.000977348885498941
1507219816.2706685,170,0.0019114997703582048
1507219829.1950645,171,0.00046530438703484833
1507219874.9865332,174,0.0021510468795895576
1507219920.4051,177,0.0007337345159612596
1507219953.6274183,179,0.000631069706287235
1507219968.2827399,180,0.0004471328866202384
1507220016.000135,183,0.0021970300003886223
1507220096.420172,189,0.0038076085038483143
1507220110.8431382,190,0.0013679114636033773
1507220141.8823788,192,0.001520416117273271
1507220187.9923425,195,0.0012428696500137448
1507220217.0279121,197,0.0014270514948293567
1507220233.3970463,198,0.0017733237473294139
1507220262.8671224,200,0.001576864393427968
1507220298.8226101,202,0.001996045932173729
1507220315.9655375,203,0.0014761253260076046
1507220422.5379407,210,0.0012206045212224126
1507220542.9186597,218,0.0013163932599127293
1507220557.6765444,219,0.0005048245075158775
1507220571.4833536,220,0.00041736301500350237
1507220626.6864338,224,0.0008398222853429615
1507220763.2840338,234,0.0007645082077942789
1507220776.103734,235,0.0006768372259102762
1507220804.9720485,237,0.0005589023930951953
1507220834.6424398,239,0.0010928860865533352
1507220861.598285,241,0.00043822178849950433
1507220905.5098002,244,0.0002820405352395028
1507220921.4232585,245,0.0016460682963952422
1507220935.641145,246,0.0004250603960826993
1507220976.2138517,249,0.00037170032737776637
1507221112.9715228,259,0.0006749046151526272
1507221139.8480892,261,0.0006926963687874377
1507221219.6263018,267,0.0005360001232475042
1507221263.2661827,270,0.001994155580177903
1507221278.7410808,271,0.002601457992568612
1507221292.329163,272,0.000816501269582659
1507221307.3681307,273,0.0010246939491480589
1507221335.1281092,275,0.0007849811809137464
1507221390.641709,279,0.0024807772133499384
1507221420.9549878,281,0.000904745829757303
1507221448.2765324,283,0.0008571346988901496
1507221473.182731,285,0.0009337428491562605
1507221543.8010297,290,0.0025936472229659557
1507221630.8129506,296,0.0016273829387500882
1507221741.7850947,303,0.0020914310589432716
1507221755.024429,304,0.0009695964981801808
1507221826.1743588,309,0.0016163983382284641
1507221840.677529,310,0.001631501130759716
1507221883.0248485,313,0.0009275558404624462
1507221895.6999183,314,0.0008741756319068372
1507221907.6027765,315,0.0008203511824831367
1507221966.7955031,319,0.0026006747502833605
1507221981.3377342,320,0.0018066596239805222
1507222009.140797,322,0.0041052550077438354
1507222050.3353934,325,0.0009578020544722676
1507222106.8457763,329,0.0006319029489532113
1507222121.2969346,330,0.0009361972915939987
1507222135.681446,331,0.002200189745053649
1507222150.0013375,332,0.004143442492932081
1507222179.60859,334,0.0034196891356259584
1507222221.329473,337,0.0010905535891652107
1507222235.794732,338,0.0033496965188533068
1507222249.210792,339,0.002847779542207718
1507222291.961124,342,0.002743801102042198
1507222332.8032975,345,0.0007615498034283519
1507222415.6534195,351,0.0013167764991521835
1507222445.2324998,353,0.0016500642523169518
1507222487.9446032,356,0.0024507588241249323
1507222502.550335,357,0.007791227661073208
1507222532.1099312,359,0.0018453879747539759
1507222546.6850839,360,0.0020525867585092783
1507222612.3291798,365,0.00131567835342139
1507222625.1346953,366,0.0014513306086882949
1507222680.2197015,370,0.0012263889657333493
